Title,TopRecommendations
operating system becoming power user,"['tool trade linux sql', 'build wireframes lowfidelity prototype', 'system administration infrastructure service', 'applied software engineering fundamental specialization', 'meta react native specialization']"
introduction psychology,"['understanding brain neurobiology everyday life', 'mental health care fundamental specialization', 'stanford introduction food health', 'science wellbeing', 'business health care specialization']"
introduction ai,"['introduction generative ai', 'introduction generative ai learning path specialization', 'ai healthcare specialization', 'machine learning specialization', 'ibm machine learning professional certificate']"
tesol certificate part teach english specialization,"['tesol certificate part teach english specialization', 'arizona state university tesol professional certificate', 'generative ai educator specialization', 'english career development', 'fintech foundation application financial technology specialization']"
meta io developer professional certificate,"['meta android developer professional certificate', 'meta react native specialization', 'meta frontend developer professional certificate', 'ibm io android mobile app developer professional certificate', 'meta backend developer professional certificate']"
management consulting specialization,"['data analysis presentation skill pwc approach specialization', 'work smarter microsoft word', 'sap technology consultant professional certificate', 'microsoft excel professional certificate', 'master microsoft office power platform specialization']"
preparing google cloud certification cloud devops engineer professional certificate,"['preparing google cloud certification cloud architect professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud network engineer professional certificate', 'preparing google cloud certification cloud security engineer professional certificate', 'preparing google cloud certification cloud developer professional certificate']"
sap business analyst professional certificate,"['ibm business analyst professional certificate', 'ibm system analyst professional certificate', 'microsoft business analyst professional certificate', 'google business intelligence professional certificate', 'generative ai business analyst specialization']"
ibm support professional certificate,"['information technology cloud fundamental specialization', 'microsoft support specialist professional certificate', 'microsoft cloud support associate professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'aws cloud support associate professional certificate']"
six sigma yellow belt specialization,"['six sigma green belt specialization', 'sap business analyst professional certificate', 'project execution running project', 'ibm system analyst professional certificate', 'google project management professional certificate']"
ibm ai developer professional certificate,"['generative ai software developer specialization', 'ibm full stack software developer professional certificate', 'ibm generative ai engineering professional certificate', 'generative ai software development skill certificate', 'applied software engineering fundamental specialization']"
generative ai chatgpt k educator specialization,"['prompt engineering educator specialization', 'generative ai educator teacher specialization', 'generative ai educator specialization', 'generative ai assistant specialization', 'prompt engineering chatgpt']"
ai everyone,"['neural network deep learning', 'improving deep neural network hyperparameter tuning regularization optimization', 'introduction ai', 'ai fundamental nondata scientist', 'deep learning specialization']"
google cloud cybersecurity professional certificate,"['ibm cybersecurity analyst professional certificate', 'ibm generative ai cybersecurity professional specialization', 'microsoft cybersecurity analyst professional certificate', 'google cybersecurity professional certificate', 'sound alarm detection response']"
ibm data analyst professional certificate,"['ibm data science professional certificate', 'ibm data analytics excel r professional certificate', 'data analysis visualization foundation specialization', 'ibm business intelligence bi analyst professional certificate', 'ibm data engineering professional certificate']"
ibm fullstack javascript developer professional certificate,"['ibm backend javascript developer professional certificate', 'javascript programming react node mongodb specialization', 'ibm java developer professional certificate', 'ibm full stack software developer professional certificate', 'microsoft fullstack developer professional certificate']"
generative ai project manager specialization,"['chatgpt project management leveraging ai success specialization', 'microsoft project management professional certificate', 'project execution running project', 'google project management professional certificate', 'ibm project manager professional certificate']"
preparing google cloud certification cloud architect professional certificate,"['preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate', 'architecting google compute engine specialization', 'preparing google cloud certification cloud network engineer professional certificate']"
indigenous canada,"['modern contemporary art design specialization', 'global diplomacy diplomacy modern world', 'influencing storytelling change management governance specialization', 'meta social medium marketing professional certificate', 'adobe content creator professional certificate']"
generative ai cybersecurity privacy leader specialization,"['ibm generative ai cybersecurity professional specialization', 'certified cybersecurity specialization', 'google cybersecurity professional certificate', 'ibm isc cybersecurity specialist professional certificate', 'cybersecurity fundamental specialization']"
start ux design process empathize define ideate,"['foundation user experience ux design', 'build wireframes lowfidelity prototype', 'google ux design professional certificate', 'meta android developer professional certificate', 'meta react native specialization']"
generative ai growth marketing specialization,"['artificial intelligence marketing', 'generative ai digital marketing specialization', 'adobe marketing specialist professional certificate', 'digital marketing specialization', 'foundation digital marketing ecommerce']"
global procurement sourcing specialization,"['supply chain management specialization', 'generative ai strategic leader specialization', 'introduction negotiation strategic playbook becoming principled persuasive negotiator', 'project planning putting together', 'successful negotiation essential strategy skill']"
cloud application development foundation specialization,"['javascript programming react node mongodb specialization', 'meta web development fundamental specialization', 'ibm frontend developer professional certificate', 'meta react specialization', 'meta frontend developer professional certificate']"
use ai creative expert partner,"['google prompting essential specialization', 'use ai responsibly', 'ai agent java generative ai specialization', 'ai agent agentic ai python powered generative ai specialization', 'ai agent developer specialization']"
devops cloud agile foundation specialization,"['ibm applied devops engineering professional certificate', 'ibm devops software engineering professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'agile development specialization']"
chatgpt master free ai tool supercharge productivity specialization,"['generative ai fundamental specialization', 'prompt engineering specialization', 'chatgpt project management leveraging ai success specialization', 'generative ai digital marketing specialization', 'prompt engineering chatgpt']"
data science fundamental python sql specialization,"['applied data science specialization', 'meta data analyst professional certificate', 'google advanced data analytics professional certificate', 'learn sql basic data science specialization', 'introduction data science specialization']"
microsoft python development professional certificate,"['google automation python professional certificate', 'applied data science specialization', 'crash course python', 'meta backend developer professional certificate', 'meta data analyst professional certificate']"
ibm data management professional certificate,"['ibm business intelligence bi analyst professional certificate', 'ibm data architecture professional certificate', 'ibm data analytics excel r professional certificate', 'data engineering foundation specialization', 'ibm relational database administrator professional certificate']"
improve english communication skill specialization,"['english career development', 'dynamic public speaking specialization', 'tesol certificate part teach english specialization', 'people soft skill professional personal success specialization', 'career success specialization']"
deeplearningai data engineering professional certificate,"['ibm data architecture professional certificate', 'prepare data exploration', 'data engineering big data machine learning gcp specialization', 'data engineering foundation specialization', 'process data dirty clean']"
generative ai software developer specialization,"['ibm ai developer professional certificate', 'generative ai software development skill certificate', 'generative ai mobile app developer specialization', 'ai agent developer specialization', 'generative ai everyone']"
ai product management specialization,"['unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'machine learning google cloud specialization', 'machine learning specialization', 'ibm introduction machine learning specialization']"
generative ai strategic leader specialization,"['agentic ai ai agent leader specialization', 'generative ai everyone', 'generative ai leadership strategy specialization', 'introduction ai', 'ai everyone']"
method statistic social science specialization,"['foundation positive psychology specialization', 'writing science', 'introduction statistic', 'introduction systematic review metaanalysis', 'data science fundamental python sql specialization']"
writing science,"['english career development', 'method statistic social science specialization', 'discover art prompting', 'accelerate job search ai', 'work smarter microsoft word']"
preparing google cloud certification cloud network engineer professional certificate,"['preparing google cloud certification cloud security engineer professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate', 'preparing google cloud certification cloud architect professional certificate', 'preparing google cloud certification cloud developer professional certificate']"
salesforce sale operation professional certificate,"['entrepreneurship specialization', 'ibm ai product manager professional certificate', 'product management certification specialization', 'generative ai product manager specialization', 'improve english communication skill specialization']"
foundation digital marketing ecommerce,"['generative ai digital marketing specialization', 'attract engage customer digital marketing', 'digital marketing specialization', 'google digital marketing ecommerce professional certificate', 'artificial intelligence marketing']"
ai healthcare specialization,"['introduction ai', 'ibm machine learning professional certificate', 'unsupervised learning recommenders reinforcement learning', 'machine learning specialization', 'deep learning specialization']"
healthcare law specialization,"['business health care specialization', 'introduction healthcare', 'ai law', 'intellectual property law specialization', 'stanford introduction food health']"
generative ai leader professional certificate,"['preparing google cloud certification cloud engineer professional certificate', 'google cloud data analytics professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'google cloud digital leader training professional certificate', 'preparing google cloud certification cloud architect professional certificate']"
science wellbeing,"['foundation positive psychology specialization', 'introduction psychology', 'understanding brain neurobiology everyday life', 'mental health care fundamental specialization', 'method statistic social science specialization']"
ibm uiux designer professional certificate,"['build wireframes lowfidelity prototype', 'google ux design professional certificate', 'meta android developer professional certificate', 'foundation user experience ux design', 'meta react native specialization']"
generative ai leadership strategy specialization,"['generative ai assistant specialization', 'generative ai automation specialization', 'leadership skill', 'generative ai fundamental specialization', 'prompt engineering specialization']"
preparing google cloud certification cloud data engineer professional certificate,"['data engineering big data machine learning gcp specialization', 'google cloud data analytics professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'google cloud digital leader training professional certificate', 'preparing google cloud certification cloud architect professional certificate']"
epic game game design professional certificate,"['game theory', 'google ux design professional certificate', 'foundation user experience ux design', 'meta android developer professional certificate', 'build wireframes lowfidelity prototype']"
ibm ai foundation business specialization,"['ibm darden digital strategy specialization', 'key technology business specialization', 'ai business specialization', 'introduction data science specialization', 'data engineering foundation specialization']"
natural language processing specialization,"['deep learning specialization', 'deeplearningai tensorflow developer professional certificate', 'ibm deep learning pytorch kera tensorflow professional certificate', 'ibm ai engineering professional certificate', 'machine learning google cloud specialization']"
prepare data exploration,"['foundation data data everywhere', 'process data dirty clean', 'ibm data architecture professional certificate', 'data engineering foundation specialization', 'introduction data science specialization']"
people soft skill professional personal success specialization,"['improve english communication skill specialization', 'human resource management hr people manager specialization', 'dynamic public speaking specialization', 'leading people team specialization', 'english career development']"
generative ai educator teacher specialization,"['generative ai automation specialization', 'prompt engineering educator specialization', 'prompt engineering specialization', 'generative ai assistant specialization', 'generative ai chatgpt k educator specialization']"
reinforcement learning specialization,"['unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'deep learning specialization', 'machine learning specialization', 'advanced learning algorithm']"
google data analytics professional certificate,"['foundation data data everywhere', 'prepare data exploration', 'tableau business intelligence analyst professional certificate', 'ibm data analytics excel r professional certificate', 'process data dirty clean']"
renew cbr professional installer certification,"['become cbr certified professional installer google', 'bit byte computer networking', 'preparing google cloud certification cloud network engineer professional certificate', 'preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud security engineer professional certificate']"
key technology business specialization,"['ibm darden digital strategy specialization', 'ibm ai foundation business specialization', 'google cloud digital leader training professional certificate', 'aws cloud technology consultant professional certificate', 'google cloud data analytics professional certificate']"
play safe manage security risk,"['risk management specialization', 'foundation cybersecurity', 'certified cybersecurity specialization', 'asset threat vulnerability', 'ibm isc cybersecurity specialist professional certificate']"
sap technology consultant professional certificate,"['management consulting specialization', 'sap business analyst professional certificate', 'aws cloud technology consultant professional certificate', 'information technology cloud fundamental specialization', 'ibm project manager professional certificate']"
instructional design foundation application,"['tesol certificate part teach english specialization', 'graphic design specialization', 'algorithm specialization', 'google ux design professional certificate', 'adobe graphic designer professional certificate']"
introduction engineering mechanic,"['prompt engineering specialization', 'prompt engineering educator specialization', 'introduction electronics', 'generative ai software developer specialization', 'prompt engineering chatgpt']"
artificial intelligence marketing,"['digital marketing specialization', 'generative ai digital marketing specialization', 'foundation digital marketing ecommerce', 'attract engage customer digital marketing', 'adobe marketing specialist professional certificate']"
amazon junior software developer professional certificate,"['ibm java developer professional certificate', 'meta backend developer professional certificate', 'ibm full stack software developer professional certificate', 'ibm fullstack javascript developer professional certificate', 'generative ai software developer specialization']"
advanced learning algorithm,"['machine learning specialization', 'unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'improving deep neural network hyperparameter tuning regularization optimization', 'deep learning specialization']"
materiality esg factor specialization,"['preparatory certificate finance financial market specialization', 'financial market', 'merger acquisition specialization', 'introduction finance basic', 'ai business specialization']"
ibm ai product manager professional certificate,"['product management certification specialization', 'ibm product manager professional certificate', 'generative ai product manager specialization', 'microsoft ai product manager professional certificate', 'digital product management specialization']"
dynamic public speaking specialization,"['improve english communication skill specialization', 'english career development', 'people soft skill professional personal success specialization', 'data analysis presentation skill pwc approach specialization', 'writing science']"
meta backend developer professional certificate,"['meta web development fundamental specialization', 'meta fullstack developer specialization', 'meta frontend developer professional certificate', 'meta database engineer professional certificate', 'amazon junior software developer professional certificate']"
aws generative ai application professional certificate,"['aws fundamental specialization', 'aws cloud solution architect professional certificate', 'aws cloud support associate professional certificate', 'preparing google cloud certification machine learning engineer professional certificate', 'machine learning google cloud specialization']"
agentic ai ai agent leader specialization,"['ai agent agentic ai python powered generative ai specialization', 'ai agent developer specialization', 'ibm rag agentic ai professional certificate', 'ai agent java generative ai specialization', 'generative ai strategic leader specialization']"
business health care specialization,"['introduction healthcare', 'healthcare law specialization', 'stanford introduction food health', 'mental health care fundamental specialization', 'integration art science modern dental medicine specialization']"
data structure algorithm specialization,"['algorithm specialization', 'crash course python', 'bit byte computer networking', 'genomic data science specialization', 'preparing google cloud certification cloud network engineer professional certificate']"
business analytics specialization,"['business analytics excel elementary advanced', 'data analysis presentation skill pwc approach specialization', 'business financial modeling specialization', 'ask question make datadriven decision', 'ibm business analyst professional certificate']"
construction management specialization,"['project planning putting together', 'chatgpt project management leveraging ai success specialization', 'project execution running project', 'project initiation starting successful project', 'microsoft project management professional certificate']"
ibm machine learning professional certificate,"['unsupervised learning recommenders reinforcement learning', 'machine learning specialization', 'ibm introduction machine learning specialization', 'deep learning specialization', 'advanced learning algorithm']"
security google cloud specialization,"['preparing google cloud certification cloud security engineer professional certificate', 'certified cybersecurity specialization', 'isc system security certified practitioner sscp', 'preparing google cloud certification cloud developer professional certificate', 'ibm isc cybersecurity specialist professional certificate']"
deeplearningai data analytics professional certificate,"['google data analytics professional certificate', 'meta data analyst professional certificate', 'prepare data exploration', 'data science fundamental python sql specialization', 'data analysis presentation skill pwc approach specialization']"
introduction systematic review metaanalysis,"['clinical trial good clinical practice specialization', 'introduction statistic', 'method statistic social science specialization', 'genomic data science specialization', 'data analysis r programming']"
foundation positive psychology specialization,"['science wellbeing', 'method statistic social science specialization', 'introduction psychology', 'introduction systematic review metaanalysis', 'generative ai strategic leader specialization']"
prompt engineering specialization,"['generative ai assistant specialization', 'prompt engineering chatgpt', 'generative ai automation specialization', 'generative ai educator teacher specialization', 'prompt engineering educator specialization']"
ibm isc cybersecurity specialist professional certificate,"['certified cybersecurity specialization', 'isc system security certified practitioner sscp', 'cybersecurity fundamental specialization', 'ibm generative ai cybersecurity professional specialization', 'security google cloud specialization']"
javascript programming react node mongodb specialization,"['ibm fullstack javascript developer professional certificate', 'cloud application development foundation specialization', 'ibm backend javascript developer professional certificate', 'meta react specialization', 'meta fullstack developer specialization']"
google ai essential specialization,"['introduction ai', 'introduction generative ai learning path specialization', 'ai healthcare specialization', 'generative ai data analyst specialization', 'introduction generative ai']"
deep learning specialization,"['ibm deep learning pytorch kera tensorflow professional certificate', 'unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'natural language processing specialization', 'machine learning google cloud specialization']"
google cloud database engineer specialization,"['preparing google cloud certification cloud engineer professional certificate', 'preparing google cloud certification cloud architect professional certificate', 'preparing google cloud certification cloud developer professional certificate', 'meta database engineer professional certificate', 'preparing google cloud certification cloud devops engineer professional certificate']"
generative ai automation specialization,"['generative ai assistant specialization', 'generative ai educator teacher specialization', 'prompt engineering specialization', 'generative ai data analyst specialization', 'generative ai everyone']"
python everybody specialization,"['data engineering foundation specialization', 'prepare data exploration', 'applied data science specialization', 'ibm data architecture professional certificate', 'ibm relational database administrator professional certificate']"
use ai responsibly,"['introduction ai', 'stay ahead ai curve', 'use ai creative expert partner', 'introduction generative ai', 'maximize productivity ai tool']"
intellectual property law specialization,"['ai law', 'healthcare law specialization', 'prompt engineering law specialization', 'regulatory compliance specialization', 'introduction marketing']"
python programming specialization,"['python data science ai development', 'crash course python', 'data analysis r programming', 'introduction programming python java specialization', 'programming everybody getting started python']"
introduction financial accounting,"['introduction finance accounting specialization', 'introduction corporate finance', 'bookkeeping basic', 'merger acquisition specialization', 'foundation management specialization']"
introduction cosmetic science ingredient specialization,"['microsoft ai product manager professional certificate', 'product management certification specialization', 'ibm ai product manager professional certificate', 'ibm product manager professional certificate', 'digital product management specialization']"
integration art science modern dental medicine specialization,"['business health care specialization', 'stanford introduction food health', 'introduction healthcare', 'healthcare law specialization', 'mental health care fundamental specialization']"
ibm deep learning pytorch kera tensorflow professional certificate,"['deep learning specialization', 'unsupervised learning recommenders reinforcement learning', 'ibm machine learning professional certificate', 'ibm ai engineering professional certificate', 'neural network deep learning']"
aws fundamental specialization,"['aws cloud solution architect professional certificate', 'aws cloud technology consultant professional certificate', 'aws generative ai application professional certificate', 'aws cloud support associate professional certificate', 'preparing google cloud certification cloud architect professional certificate']"
microsoft ai ml engineering professional certificate,"['machine learning google cloud specialization', 'ibm ai engineering professional certificate', 'ibm machine learning professional certificate', 'preparing google cloud certification machine learning engineer professional certificate', 'ai product management specialization']"
foundation data data everywhere,"['prepare data exploration', 'share data art visualization', 'process data dirty clean', 'data analysis r programming', 'data analysis visualization foundation specialization']"
microsoft fundamental specialization,"['work smarter microsoft word', 'master microsoft office power platform specialization', 'microsoft support specialist professional certificate', 'microsoft copilot leader specialization', 'microsoft power bi data analyst professional certificate']"
ai agent java generative ai specialization,"['ai agent developer specialization', 'ai agent agentic ai python powered generative ai specialization', 'generative ai java spring developer specialization', 'agentic ai ai agent leader specialization', 'use ai creative expert partner']"
ibm rag agentic ai professional certificate,"['agentic ai ai agent leader specialization', 'rag generative ai application specialization', 'ai agent agentic ai python powered generative ai specialization', 'ai agent developer specialization', 'ibm ai developer professional certificate']"
mental health care fundamental specialization,"['introduction psychology', 'understanding brain neurobiology everyday life', 'business health care specialization', 'healthcare law specialization', 'stanford introduction food health']"
merger acquisition specialization,"['introduction financial accounting', 'introduction finance accounting specialization', 'preparatory certificate finance financial market specialization', 'think like cfo specialization', 'foundation management specialization']"
generative ai product manager specialization,"['ibm ai product manager professional certificate', 'ibm product manager professional certificate', 'product management certification specialization', 'microsoft ai product manager professional certificate', 'digital product management specialization']"
meta fullstack developer specialization,"['meta backend developer professional certificate', 'meta web development fundamental specialization', 'meta frontend developer professional certificate', 'cloud application development foundation specialization', 'javascript programming react node mongodb specialization']"
google digital marketing ecommerce professional certificate,"['foundation digital marketing ecommerce', 'attract engage customer digital marketing', 'generative ai digital marketing specialization', 'digital marketing specialization', 'like lead interact customer online']"
ibm cybersecurity analyst professional certificate,"['google cloud cybersecurity professional certificate', 'foundation cybersecurity', 'google cybersecurity professional certificate', 'microsoft cybersecurity analyst professional certificate', 'ibm isc cybersecurity specialist professional certificate']"
google ux design professional certificate,"['foundation user experience ux design', 'build wireframes lowfidelity prototype', 'start ux design process empathize define ideate', 'ibm uiux designer professional certificate', 'google data analytics professional certificate']"
technical support fundamental,"['microsoft support specialist professional certificate', 'google support professional certificate', 'ibm support professional certificate', 'microsoft cloud support associate professional certificate', 'aws cloud support associate professional certificate']"
ai business specialization,"['ibm ai foundation business specialization', 'data engineering big data machine learning gcp specialization', 'ai fundamental nondata scientist', 'data engineering foundation specialization', 'data analysis presentation skill pwc approach specialization']"
system administration infrastructure service,"['microsoft cybersecurity analyst professional certificate', 'microsoft cloud support associate professional certificate', 'operating system becoming power user', 'preparing google cloud certification cloud data engineer professional certificate', 'ai infrastructure operation fundamental']"
design prompt everyday work task,"['google prompting essential specialization', 'start writing prompt like pro', 'discover art prompting', 'project planning putting together', 'prompt engineering specialization']"
ibm business intelligence bi analyst professional certificate,"['ibm data analytics excel r professional certificate', 'tableau business intelligence analyst professional certificate', 'ibm data management professional certificate', 'ibm data analyst professional certificate', 'data analysis visualization foundation specialization']"
generative ai data engineer specialization,"['generative ai data scientist specialization', 'generative ai data analyst specialization', 'generative ai data analyst specialization', 'preparing google cloud certification cloud data engineer professional certificate', 'introduction data science specialization']"
introduction generative ai,"['introduction generative ai learning path specialization', 'introduction ai', 'generative ai everyone', 'generative ai data analyst specialization', 'generative ai fundamental specialization']"
nursing assistant fundamental specialization,"['pharmacy technician fundamental specialization', 'medical office procedure administration fundamental specialization', 'medical billing coding fundamental specialization', 'human anatomy medical terminology fundamental specialization', 'mental health care fundamental specialization']"
generative ai java spring developer specialization,"['ai agent java generative ai specialization', 'ibm java developer professional certificate', 'introduction programming python java specialization', 'generative ai software developer specialization', 'ai foundation everyone specialization']"
medical neuroscience,"['medical billing coding fundamental specialization', 'human anatomy medical terminology fundamental specialization', 'medical office procedure administration fundamental specialization', 'cancer biology specialization', 'introduction biology ecology evolution biodiversity specialization']"
search engine optimization seo specialization,"['foundation digital marketing ecommerce', 'google digital marketing ecommerce professional certificate', 'generative ai digital marketing specialization', 'attract engage customer digital marketing', 'adobe marketing specialist professional certificate']"
